namecode|FullnameNoAuthors|accepted_namecode|tropicos_namecode|OutputHowMatched|family_with_authors|publication|collation|volume|issue|pages|OutputTitlePageYear|OutputYearPublished|OutputNomenclatureStatus|bhlink
625|Bromeliaceae||42000361|FullnameNoAuthors|Bromeliaceae Juss.|Gen. Pl.|49–50|||49|1789||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:284&volume=&issue=&spage=49&date=1789
626|Flagellariaceae||42000350|FullnameNoAuthors|Flagellariaceae Dumort.|Anal. Fam. Pl.|59, 60|||59|1829||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:443&volume=&issue=&spage=59&date=1829
630|Cyclanthaceae||42000340|FullnameNoAuthors|Cyclanthaceae Poit. ex A. Rich.|Dict. Class. Hist. Nat.|5: 222|5||222|1824||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:33901&volume=5&issue=&spage=222&date=1824
631|Taccaceae||42000381|FullnameNoAuthors|Taccaceae Dumort.|Anal. Fam. Pl.|57–58|||57|1829||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:443&volume=&issue=&spage=57&date=1829
635|Sparganiaceae||42000359|FullnameNoAuthors|Sparganiaceae Hanin|Cours Bot.|400|||400|1811||No opinion|
638|Strelitziaceae||42000362|FullnameNoAuthors|Strelitziaceae Hutch.|Fam. Fl. Pl., Monocot.|2: 72|2||72|1934||No opinion|
641|Marantaceae||42000369|FullnameNoAuthors|Marantaceae R. Br.|Voy. Terra Austral.|2: 575|2||575|1814||No opinion|
642|Orchidaceae||42000388|FullnameNoAuthors|Orchidaceae Juss.|Gen. Pl.|64–65|||64|1789||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:284&volume=&issue=&spage=64&date=1789
643|Petrosaviaceae||50304850|FullnameNoAuthors|Petrosaviaceae Hutch.|Fam. Fl. Pl., Monocot.|2: 36|2||36|1934||No opinion|
701|Cardiopteridaceae||42000230|FullnameNoAuthors|Cardiopteridaceae Blume|Rumphia|3: 205|3||205|1847||No opinion|
702|Gnetaceae||42000446|FullnameNoAuthors|Gnetaceae Blume|Nov. Pl. Expos.|23|||23|1833||No opinion|
706|Dipterocarpaceae||42000085|FullnameNoAuthors|Dipterocarpaceae Blume|Bijdr. Fl. Ned. Ind.|222|||222|1825||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:395&volume=&issue=&spage=222&date=1825
708|Sonneratiaceae||42000190|FullnameNoAuthors|Sonneratiaceae Engl.|Nat. Pflanzenfam.|Nachtr. 1: 261|Nachtr. 1||261|1897||No opinion|
709|Cannabaceae||42000051|FullnameNoAuthors|Cannabaceae Martinov|Tekhno-Bot. Slovar.|99|||99|1820||No opinion|
711|Ephedraceae||42000419|FullnameNoAuthors|Ephedraceae Dumort.|Anal. Fam. Pl.|11, 12|||11|1829||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:443&volume=&issue=&spage=11&date=1829
712|Alstroemeriaceae||42000440|FullnameNoAuthors|Alstroemeriaceae Dumort.|Anal. Fam. Pl.|57, 58|||57|1829||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:443&volume=&issue=&spage=57&date=1829
713|Anthericaceae  ||50324391|FullnameNoAuthors|Anthericaceae J. Agardh|Theoria Syst. Pl.|27|||27|1858||No opinion|
714|Adoxaceae||42000318|FullnameNoAuthors|Adoxaceae E. Mey.|Preuss. Pfl.-Gatt.|198|||198|1839||No opinion|
716|Ancistrocladaceae||42000121|FullnameNoAuthors|Ancistrocladaceae Planch. ex Walp.|Ann. Bot. Syst.|2: 175|2||175|1851||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:7556&volume=2&issue=&spage=175&date=1851
717|Anisophylleaceae||42000171|FullnameNoAuthors|Anisophylleaceae Ridl.|Fl. Malay. Penin.|1: 700|1||700|1922||No opinion|
718|Pentaphylacaceae||42000090|FullnameNoAuthors|Pentaphylacaceae Engl.|Nat. Pflanzenfam., Nachträge|1: 214|1||214|1897||No opinion|
719|Haemodoraceae||42000372|FullnameNoAuthors|Haemodoraceae R. Br.|Prodr.|299|||299|1810||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:3678&volume=&issue=&spage=299&date=1810
723|Nartheciaceae||50324677|FullnameNoAuthors|Nartheciaceae Fr. ex Bjurzon|Skand. Vaxtfam.|64|||64|1846||No opinion|
724|Paeoniaceae||42000081|FullnameNoAuthors|Paeoniaceae Raf.|Anal. Nat.|176|||176|1815||No opinion|
725|Rhoipteleaceae||42000057|FullnameNoAuthors|Rhoipteleaceae Hand.-Mazz.|Repert. Spec. Nov. Regni Veg.|30: 75|30||75|1932||No opinion|
726|Pandaceae||42000235|FullnameNoAuthors|Pandaceae Engl. & Gilg|Syllabus (ed. 7)|223|||223|1912-1913||No opinion|
727|Cynomoriaceae||50275155|FullnameNoAuthors|Cynomoriaceae Endl. ex Lindl.|Nix. Pl.|23|||23|1833||No opinion|
731|Brunelliaceae||42000158|FullnameNoAuthors|Brunelliaceae Engl.|Nat. Pflanzenfam.|1: 182|1||182|1897||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:4635&volume=1&issue=&spage=182&date=1897
732|Calycanthaceae||42000014|FullnameNoAuthors|Calycanthaceae Lindl.|Bot. Reg.|5: pl. 404|5||pl. 404|1819||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:382&volume=5&issue=&spage=pl. 404&date=1819
734|Tapisciaceae||50324765|FullnameNoAuthors|Tapisciaceae Takht.|Sist. Magnol.|171|||171|1987||No opinion|
735|Viscaceae||42000215|FullnameNoAuthors|Viscaceae Batsch|Tab. Affin. Regni Veg.|240|||240|1802||No opinion|
736|Clethraceae||42000142|FullnameNoAuthors|Clethraceae Klotzsch|Linnaea|24(1): 12|24|1|12|1851||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:626&volume=24&issue=1&spage=12&date=1851
738|Dipentodontaceae||42000209|FullnameNoAuthors|Dipentodontaceae Merr.|Brittonia|4: 69, 73|4||69|1941||No opinion|
739|Circaeasteraceae||42000030|FullnameNoAuthors|Circaeasteraceae Hutch.|Fam. Fl. Pl., Dicot.|1: 98|1||98|1926||No opinion|
740|Cistaceae||42000112|FullnameNoAuthors|Cistaceae Juss.|Gen. Pl.|294|||294|1789||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:284&volume=&issue=&spage=294&date=1789
743|Centroplacaceae||100352707|FullnameNoAuthors|Centroplacaceae Doweld & Reveal|Bot. Rev. (Lancaster)|71: 48|71||48|2005||No opinion|
107|Marattiaceae||42000420|FullnameNoAuthors|Marattiaceae Kaulf.|Enum. Filic.|31|||31|1824||nom. cons.|
125|Dryopteridaceae||42000395|FullnameNoAuthors|Dryopteridaceae Herter|Revista Sudamer. Bot.|9: 15|9||15|1949||nom. cons.|
206|Podocarpaceae||50126585|FullnameNoAuthors|Podocarpaceae Endl.|Syn. Conif.|203|||203|1847||nom. cons.|
302|Myricaceae||42000059|FullnameNoAuthors|Myricaceae Rich. ex Kunth|Nov. Gen. Sp. (quarto ed.)|2: 16|2||16|1817||nom. cons.|http://www.biodiversitylibrary.org/openurl?pid=title:640&volume=2&issue=&spage=16&date=1817
308|Moraceae||42000052|FullnameNoAuthors|Moraceae Gaudich.|Gen. Pl.|13|||13|1835||nom. cons.|
311|Proteaceae||42000186|FullnameNoAuthors|Proteaceae Juss.|Gen. Pl.|78|||78|1789||nom. cons.|http://www.biodiversitylibrary.org/openurl?pid=title:284&volume=&issue=&spage=78&date=1789
315|Loranthaceae||42000214|FullnameNoAuthors|Loranthaceae Juss.|Ann. Mus. Natl. Hist. Nat.|12: 292|12||292|1808||nom. cons.|http://www.biodiversitylibrary.org/openurl?pid=title:41507&volume=12&issue=&spage=292&date=1808
317|Polygonaceae||42000078|FullnameNoAuthors|Polygonaceae Juss.|Gen. Pl.|82|||82|1789||nom. cons.|http://www.biodiversitylibrary.org/openurl?pid=title:284&volume=&issue=&spage=82&date=1789
318|Phytolaccaceae||42000066|FullnameNoAuthors|Phytolaccaceae R. Br.|Narr. Exped. Zaire|454|||454|1818||nom. cons.|
319|Nyctaginaceae||42000068|FullnameNoAuthors|Nyctaginaceae Juss.|Gen. Pl.|90|||90|1789||nom. cons.|http://www.biodiversitylibrary.org/openurl?pid=title:284&volume=&issue=&spage=90&date=1789
321|Aizoaceae||42000069|FullnameNoAuthors|Aizoaceae Martinov|Tekhno-Bot. Slovar.|15|||15|1820||nom. cons.|
328|Magnoliaceae||42000005|FullnameNoAuthors|Magnoliaceae Juss.|Gen. Pl.|280|||280|1789||nom. cons.|http://www.biodiversitylibrary.org/openurl?pid=title:284&volume=&issue=&spage=280&date=1789
330|Myristicaceae||42000008|FullnameNoAuthors|Myristicaceae R. Br.|Prodr.|399|||399|1810||nom. cons.|http://www.biodiversitylibrary.org/openurl?pid=title:3678&volume=&issue=&spage=399&date=1810
333|Lauraceae||42000016|FullnameNoAuthors|Lauraceae Juss.|Gen. Pl.|80|||80|1789||nom. cons.|http://www.biodiversitylibrary.org/openurl?pid=title:284&volume=&issue=&spage=80&date=1789
338|Lardizabalaceae||42000033|FullnameNoAuthors|Lardizabalaceae R. Br.|Trans. Linn. Soc. London|13(1): 212|13|1|212|1821||nom. cons.|http://www.biodiversitylibrary.org/openurl?pid=title:683&volume=13&issue=1&spage=212&date=1821
340|Nelumbonaceae||42000024|FullnameNoAuthors|Nelumbonaceae A. Rich.|Dict. Class. Hist. Nat.|11: 492|11||492|1827||nom. cons.|http://www.biodiversitylibrary.org/openurl?pid=title:33901&volume=11&issue=&spage=492&date=1827
341|Nymphaeaceae||42000025|FullnameNoAuthors|Nymphaeaceae Salisb.|Ann. Bot. (König & Sims)|2: 70|2||70|1805||nom. cons.|
344|Saururaceae||42000019|FullnameNoAuthors|Saururaceae Rich. ex T. Lestib.|Botanogr. Élém.|453|||453|1826||nom. cons.|
347|Aristolochiaceae||42000021|FullnameNoAuthors|Aristolochiaceae Juss.|Gen. Pl.|72–73|||72|1789||nom. cons.|http://www.biodiversitylibrary.org/openurl?pid=title:284&volume=&issue=&spage=72&date=1789
