FullnameWithAuthors	FullnameNoAuthors	SourceID	OutputNameID	OutputHowMatched	OutputFullNameWithAuthors	OutputAbbreviatedTitle	OutputCollation	OutputVolume	OutputIssue	OutputPage	OutputTitlePageYear	OutputYearPublished	OutputNomenclatureStatus	OutputBHLLink	OutputBatchID
	Cineraria	1601	40009100	FullnameNoAuthors	Cineraria L.	Sp. Pl. (ed. 2)	1242			1242	1763		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:11179&volume=&issue=&spage=1242&date=1763	7067
	Dahlia	1610	40021400	FullnameNoAuthors	Dahlia Cav.	Icon.	1(3): 56–57	1	3	56	1791		Legitimate		7067
	Dimorphotheca	1612	40031538	FullnameNoAuthors	Dimorphotheca Moench	Methodus	585–586			585	1794		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:304&volume=&issue=&spage=585&date=1794	7067
	Glossogyne	1625	40015169	FullnameNoAuthors	Glossogyne Cass.	Dict. Sci. Nat. (ed. 2)	51: 475	51		475	1827		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:42219&volume=51&issue=&spage=475&date=1827	7067
	Helenium	1629	40022555	FullnameNoAuthors	Helenium L.	Sp. Pl.	2: 886	2		886	1753		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=2&issue=&spage=886&date=1753	7067
	Helichrysum	1631	40022682	FullnameNoAuthors	Helichrysum Mill.	Gard. Dict. Abr. (ed. 4)	vol. 2			vol. 2	1754		Legitimate		7067
	Heliopsis	1632	40022874	FullnameNoAuthors	Heliopsis Pers.	Syn. Pl.	2: 473	2		473	1807		nom. cons.	http://www.biodiversitylibrary.org/openurl?pid=title:638&volume=2&issue=&spage=473&date=1807	7067
	Helipterum	1633	40022922	FullnameNoAuthors	Helipterum DC.	Prodr.	6: 211	6		211	1837	1838	No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:286&volume=6&issue=&spage=211&date=1837	7067
	Hemistepta	1634													7067
	Kalimeris	1638	40034394	FullnameNoAuthors	Kalimeris (Cass.) Cass.	Dict. Sci. Nat. (ed. 2)	37: 464, 491	37		464	1825		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:42219&volume=37&issue=&spage=464&date=1825	7067
	Lapsana	1642	40001968	FullnameNoAuthors	Lapsana L.	Sp. Pl.	2: 811	2		811	1753		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=2&issue=&spage=811&date=1753	7067
	Leibnitzia	1643	40003422	FullnameNoAuthors	Leibnitzia Cass.	Dict. Sci. Nat. (ed. 2)	25: 420–421	25		420	1822		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:42219&volume=25&issue=&spage=420&date=1822	7067
	Liatris	1645	40006364	FullnameNoAuthors	Liatris Gaertn. ex Schreb.	Gen. Pl.	2: 542	2		542	1791		Legitimate		7067
	Prenanthes	1656	40015815	FullnameNoAuthors	Prenanthes L.	Sp. Pl.	2: 797	2		797	1753		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=2&issue=&spage=797&date=1753	7067
	Rudbeckia	1659	40027515	FullnameNoAuthors	Rudbeckia L.	Sp. Pl.	2: 906	2		906	1753		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=2&issue=&spage=906&date=1753	7067
	Sanvitaria	1660													7067
	Silybum	1664	100367561	FullnameNoAuthors	Silybum Vaill.	Konigl. Akad. Wiss. Paris Phys. Abh.	5: 173, 605	5		173	1754		Legitimate		7067
	Sphaeromorphaea	1669	40003197	FullnameNoAuthors	Sphaeromorphaea DC.	Prodr.	6: 140	6		140	1837	1838	No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:286&volume=6&issue=&spage=140&date=1837	7067
	Spilanthes	1670	40003597	FullnameNoAuthors	Spilanthes Jacq.	Enum. Syst. Pl.	8, 28			8	1760		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:737&volume=&issue=&spage=8&date=1760	7067
	Stokesia	1671	40006514	FullnameNoAuthors	Stokesia L'Hér.	Sert. Angl.	27			27	1788	1789	No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:11440&volume=&issue=&spage=27&date=1788	7067
	Tragopogon	1677	40016322	FullnameNoAuthors	Tragopogon L.	Sp. Pl.	2: 789	2		789	1753		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=2&issue=&spage=789&date=1753	7067
	Venidium	1679	40023665	FullnameNoAuthors	Venidium Less.	Linnaea	6(1): 91–92	6	1	91	1831		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:626&volume=6&issue=1&spage=91&date=1831	7067
	Inula	1707	40031169	FullnameNoAuthors	Inula L.	Sp. Pl.	2: 881	2		881	1753		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=2&issue=&spage=881&date=1753	7067
	Hesperomannia	1708	40024726	FullnameNoAuthors	Hesperomannia A. Gray	Proc. Amer. Acad. Arts	6: 554	6		554	1865		No opinion		7067
	Lagascea	1709	40001128	FullnameNoAuthors	Lagascea Cav.	Anales Ci. Nat.	6(18): 331–333, pl. 44	6	18	331	1803		nom. cons.	http://www.biodiversitylibrary.org/openurl?pid=title:162&volume=6&issue=18&spage=331&date=1803	7067
	Synotis	1710	40037812	FullnameNoAuthors	Synotis (C.B. Clarke) C. Jeffrey & Y.L. Chen	Kew Bull.	39(2): 285	39	2	285	1984		Legitimate		7067
	Lophotocarpus	1715	40008878	FullnameNoAuthors	Lophotocarpus T. Durand	Index Gen. Phan.	x			x	1888		No opinion		7067
	Elodea	1726	40002343	FullnameNoAuthors	Elodea Michx.	Fl. Bor.-Amer.	1: 20	1		20	1803		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:330&volume=1&issue=&spage=20&date=1803	7067
	Anemarrhena	1737	40014330	FullnameNoAuthors	Anemarrhena Bunge	Enum. Pl. China Bor.	66			66	1833		No opinion		7067
	Chlorophytum	1740	40007620	FullnameNoAuthors	Chlorophytum Ker Gawl.	Bot. Mag.	27: , t. 1071	27			1807		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:706&volume=27&issue=&spage=&date=1807	7067
	Convallaria	1741	40013629	FullnameNoAuthors	Convallaria L.	Sp. Pl.	1: 314	1		314	1753		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=1&issue=&spage=314&date=1753	7067
	Drimiopsis	1745	40035736	FullnameNoAuthors	Drimiopsis Lindl. ex Paxton	Paxton's Fl. Gard.	2: 73	2		73	1851		No opinion		7067
	Erythronium	1746	40006010	FullnameNoAuthors	Erythronium L.	Sp. Pl.	1: 305	1		305	1753		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=1&issue=&spage=305&date=1753	7067
	Eucomis	1747	40006689	FullnameNoAuthors	Eucomis L'Hér.	Sert. Angl.	17			17	1788	1789	Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:11440&volume=&issue=&spage=17&date=1788	7067
	Fritillaria	1748	40011102	FullnameNoAuthors	Fritillaria L.	Sp. Pl.	1: 303	1		303	1753		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=1&issue=&spage=303&date=1753	7067
	Gagea	1749	40011566	FullnameNoAuthors	Gagea Salisb.	Ann. Bot. (König & Sims)	2: 555	2		555	1806		No opinion		7067
	Gasteria	1750	40012645	FullnameNoAuthors	Gasteria Duval	Pl. Succ. Horto Alenc$.	6			6	1809		No opinion		7067
	Haworthia	1751	40021791	FullnameNoAuthors	Haworthia Duval	Pl. Succ. Horto Alenc.	7			7	1809		Legitimate		7067
	Heloniopsis	1752	40023157	FullnameNoAuthors	Heloniopsis A. Gray	Mem. Amer. Acad. Arts, n.s.	6: 416	6		416	1858		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=item:49960&spage=416&date=1858	7067
	Hosta	1754	40027793	FullnameNoAuthors	Hosta Tratt.	Arch. Gewächsk.	1: 55	1		55	1812		nom. cons.		7067
	Hyacinthus	1755	40028561	FullnameNoAuthors	Hyacinthus L.	Sp. Pl.	1: 316	1		316	1753		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=1&issue=&spage=316&date=1753	7067
